publication,radius_earth,uncertainty_plus,uncertainty_minus,unit,source_record_id,source_id,record_type,source_url,published,source_updated,source_fields
Gillon et al. 2017,0.918,0.039,-0.039,Earth radii,source-ps-038306-b7c0ba9cb4f3f7be,nasa-ps,published solution,https://ui.adsabs.harvard.edu/abs/2017Natur.542..456G/abstract,2017-02,2017-02-17,"{""pl_rade"":0.918,""pl_radeerr1"":0.039,""pl_radeerr2"":-0.039,""pl_radelim"":0}"
Agol et al. 2021,0.92,0.013,-0.012,Earth radii,source-ps-038310-7be952d82d515c80,nasa-ps,published solution,https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract,2021-02,2022-11-14,"{""pl_rade"":0.92,""pl_radeerr1"":0.013,""pl_radeerr2"":-0.012,""pl_radelim"":0}"
